Gene.symbol	P.Value	logFC
Runx1	2.18e-14	2.87586504
Agrp	4.35e-13	3.38002447
Col8a1	6.69e-13	2.22569314
Fam171b	1.6e-12	3.56085955
Rrad	2.54e-12	3.47352057
Myog	4.78e-12	2.54347628
Aif1l	7.79e-12	1.99651206
Aldh3a1	7.99e-12	4.20376089
Pakap	8.84e-12	2.25525719
Myl6b	9.98e-12	2.53831436
Tubb6	1.21e-11	2.61162861
Rb1	1.23e-11	2.04193866
Atp13a3	1.45e-11	2.07170202
Krt18	2.6e-11	2.86050959
Plekhh2	2.62e-11	2.32126723
Ripply1	2.9e-11	2.1041248
Myh8	3.28e-11	2.80564946
Serinc5	3.3e-11	1.96552515
Zc2hc1a	3.35e-11	1.58960076
Chrna1	3.63e-11	1.76944755
Gm5424	3.66e-11	2.56663149
Cx3cl1	3.77e-11	2.26409339
Mvp	4.24e-11	1.61913072
Vash2	4.55e-11	2.43459914
Gm5424	4.84e-11	2.55807539
Pam	5.05e-11	1.36464943
Pakap	5.19e-11	2.43172741
Myl12a	5.86e-11	1.43330997
Prune2	6.57e-11	2.06208452
Chrng	7.96e-11	1.87150981
Nfkb2	9.32e-11	1.17964057
Prrg4	1.14e-10	2.59376766
Ncam1	1.19e-10	2.59006891
Sh3d19	1.58e-10	1.79310402
Postn	1.74e-10	2.27851281
Gm5879	1.79e-10	1.34657338
Slc9a9	1.95e-10	1.60140755
Ces5a	1.99e-10	2.39664229
Gm5879	2.41e-10	1.37292474
Magix	2.53e-10	-1.49171481
Gm5879	3.04e-10	1.32145168
Rab31	3.55e-10	1.5052234
Sln	3.76e-10	3.20638825
Dhrs7	4.29e-10	1.31381976
Gm5879	4.34e-10	1.35365298
Gm5879	4.54e-10	1.27872667
Nt5c1a	4.71e-10	-2.41486716
Myh3	4.76e-10	5.38322344
Fat3	5.78e-10	1.62247182
Ifitm3	5.96e-10	1.53798906
1700007K13Rik	6.69e-10	2.18529532
Stat5b	7.37e-10	-1.37162049
Plekhh1	7.83e-10	1.87863377
Cul7	8.33e-10	1.42984914
Ostn	8.37e-10	2.65000924
Ryr3	9.55e-10	1.12618593
Chac1	1.12e-09	-2.1421247
Casp3	1.13e-09	2.49186396
Chrnd	1.2e-09	1.76518515
Igsf1	1.29e-09	1.53363395
Fst	1.32e-09	1.91709129
Th	1.34e-09	2.93017592
Dsp	1.39e-09	3.95789576
Arhgap42	1.55e-09	1.62583963
Tlr4	1.64e-09	2.18216152
Csrp3	1.73e-09	2.93941624
Ablim1	1.74e-09	2.76208448
Tmem176b	1.93e-09	1.28852414
Plxnb2	1.97e-09	1.50024239
Wdr35	1.98e-09	1.14849457
Tiam2	2e-09	2.22128852
Pakap	2.17e-09	1.60327482
Gm5879	2.18e-09	1.34558127
Gm5879	2.18e-09	1.34558127
Slc38a1	2.24e-09	1.88957916
Mcm6	2.39e-09	2.19528811
Asb14	2.64e-09	-1.68712992
Tmbim1	2.76e-09	0.99734967
Hrasls	2.77e-09	-1.7963338
Usp11	2.77e-09	1.08881376
Mid2	2.88e-09	1.03170739
Itga5	2.9e-09	1.38297167
Fat3	3.07e-09	1.52946513
Tubb2a-ps2	3.11e-09	1.27235356
Nrcam	3.2e-09	1.80672357
Tmem8c	3.34e-09	2.8314863
Micall1	3.43e-09	1.68930291
Ppp1r14c	3.5e-09	-1.23842951
Lmna	3.63e-09	0.85147174
Sbk3	4.19e-09	1.63561741
Sox11	4.21e-09	2.36696825
Plekho1	4.26e-09	1.57758002
Fam131a	4.49e-09	-1.84208952
Mylk2	4.69e-09	-1.40685843
Lgalsl	4.71e-09	-0.94700811
Peg3	4.86e-09	2.27327734
Slc25a24	4.97e-09	1.3184485
Adssl1	4.99e-09	-1.11820166
Nt5c2	5.31e-09	1.93310945
Cd82	5.55e-09	1.56651947
Ccdc141	6.3e-09	2.14355711
Paip2b	6.31e-09	-0.86567076
Neb	6.54e-09	-1.45065552
Anxa4	6.94e-09	1.24660291
Ampd1	7.26e-09	-1.39131354
Atxn10	7.29e-09	1.05116731
Prune2	7.39e-09	1.69801782
Zim1	7.74e-09	2.19383235
Tecrl	7.93e-09	2.98366225
Eef1a1	7.94e-09	1.08889371
Mfsd7a	8.12e-09	1.60412134
Abhd2	8.16e-09	1.11399997
Flrt2	8.33e-09	1.27693312
Ttc9	8.39e-09	3.08896617
Gpcpd1	8.67e-09	-1.90033382
Nxn	8.98e-09	1.02875553
Tnfrsf23	9.13e-09	2.18090956
Oat	9.33e-09	-0.83643634
Cyp4f39	9.42e-09	-2.45435254
Gas6	9.63e-09	1.16312343
Camk2a	9.73e-09	-1.02933091
Hspb1	9.77e-09	1.40444298
Fhl2	1e-08	1.74333993
Lrrc20	1.08e-08	-1.26862179
St3gal6	1.13e-08	-1.15641513
Chml	1.16e-08	1.09304658
Capza2	1.18e-08	-0.81148817
Maged1	1.18e-08	1.02780116
Hspb1	1.23e-08	1.40248562
Mllt3	1.3e-08	-1.01970711
Cyr61	1.31e-08	1.56334369
Gpd2	1.34e-08	-1.65014249
Fam49a	1.41e-08	1.58647426
Scn4b	1.41e-08	-1.31079456
Gadd45a	1.42e-08	1.61721159
Me2	1.42e-08	1.15467371
Tmem56	1.44e-08	-1.42618197
Cmip	1.45e-08	1.27701825
Otulin	1.5e-08	1.69178167
Atp8a1	1.58e-08	-1.3981357
Cyp1b1	1.6e-08	1.8247308
Ankrd1	1.6e-08	4.01870104
Efs	1.66e-08	0.82811822
Homer1	1.74e-08	-1.15730342
Ccdc141	1.74e-08	2.1662942
Styx	1.78e-08	-1.3386305
Rras	1.82e-08	1.38814811
Smyd2	1.84e-08	-1.96334095
Styx	1.84e-08	-1.29563318
Cers6	1.85e-08	1.32306152
Itga9	1.86e-08	2.17135724
Nfyb	2e-08	-0.99337771
Il20rb	2.03e-08	0.75588314
2810474O19Rik	2.04e-08	1.43284435
Pum3	2.06e-08	0.87473661
Myl4	2.09e-08	1.72963437
Amd2	2.12e-08	-2.05392904
Pde4a	2.15e-08	-1.40378494
Micall2	2.35e-08	1.00110826
Ift81	2.4e-08	1.17867015
Spg21	2.52e-08	1.23988498
Lamc2	2.54e-08	1.37519012
Cyp27a1	2.62e-08	-1.01021569
Amd2	2.67e-08	-2.09417173
Cpne2	2.68e-08	2.83028225
Mlf1	2.69e-08	-1.72878042
Cmss1	2.73e-08	-1.53670612
Prox1	2.87e-08	1.57502735
Ptprd	2.89e-08	1.35364934
Tanc2	3.02e-08	1.25653875
B3galt2	3.02e-08	2.23242695
Kcnc4	3.06e-08	-1.04964624
Mical2	3.11e-08	-0.99062915
Ldlrad3	3.15e-08	1.4578233
Phkg1	3.27e-08	-1.45667481
Lrrc17	3.43e-08	1.49948104
Enah	3.43e-08	1.64192952
Linc-md1	3.44e-08	1.16938153
Clic4	3.45e-08	1.20334909
Cyp4f14	3.46e-08	1.16661362
Igsf10	3.47e-08	1.2551042
Wdyhv1	3.49e-08	1.04892946
Ampd3	3.54e-08	1.29597717
Fubp1	3.59e-08	0.92074751
Ndufaf5	3.62e-08	-1.20329324
Mdm4	3.62e-08	1.58524343
